opt_code,school_year,school_name,longitude,latitude,city,how_long_delayed
03910,2015-2016,THE GATEWAY SCHOOL OF NY,-73.987267,40.772006,Manhattan,46-60 Min
03910,2015-2016,THE GATEWAY SCHOOL OF NY,-73.987267,40.772006,Manhattan,31-45 Min
03931,2015-2016,THE SMITH SCHOOL,-73.973143,40.786993,Manhattan,16-30 Min
03931,2015-2016,THE SMITH SCHOOL,-73.973143,40.786993,Manhattan,61-90 Min
03931,2015-2016,THE SMITH SCHOOL,-73.973143,40.786993,Manhattan,46-60 Min
03931,2015-2016,THE SMITH SCHOOL,-73.973143,40.786993,Manhattan,31-45 Min
03931,2015-2016,THE SMITH SCHOOL,-73.973143,40.786993,Manhattan,0-15 Min
03973,2015-2016,RE-START @ CARE ST LUKES,-73.960446,40.804957,Manhattan,31-45 Min
03973,2015-2016,RE-START @ CARE ST LUKES,-73.960446,40.804957,Manhattan,61-90 Min
03973,2015-2016,RE-START @ CARE ST LUKES,-73.960446,40.804957,Manhattan,16-30 Min
